R_in,G_in,B_in,R_out,G_out,B_out
210.782727,184.688214,231.35015,0.018841,0.017791,0.019423
373.724717,374.537841,343.557641,0.089758,0.089562,0.089339
650.989083,633.191244,621.060732,0.784236,0.780417,0.777937
472.153935,464.608699,458.461066,0.199501,0.1995,0.199501
616.75725,597.447673,587.256684,0.591418,0.590734,0.585477
573.836397,557.084312,551.109697,0.42731,0.42766,0.424802
528.137475,513.942537,505.863872,0.299649,0.299124,0.295093
467.769296,462.568902,457.716452,0.195986,0.195653,0.194506
398.425631,400.766001,386.261009,0.112552,0.113023,0.112833
331.539142,332.105214,299.964826,0.064812,0.065393,0.065338
245.438441,214.274437,237.263678,0.030547,0.030455,0.03083
586.047673,451.81844,381.893825,0.28192,0.200071,0.130593
577.254503,418.709558,309.400938,0.237955,0.156194,0.086903
578.315298,481.500652,446.354224,0.309655,0.251724,0.201944
515.9002,395.065546,308.794804,0.169786,0.123797,0.083703
405.177176,320.620989,258.474707,0.086665,0.067237,0.052178
643.134325,539.402554,512.28023,0.514605,0.408889,0.349397
616.181109,478.081472,454.431806,0.373264,0.263295,0.217915
338.195211,256.020155,225.555604,0.050062,0.041956,0.031546
672.260579,296.102631,379.984009,0.348055,0.096706,0.11198
624.416898,533.050948,513.541329,0.520643,0.38355,0.333227
629.00853,391.699349,399.419045,0.346638,0.153465,0.13692
536.821909,201.97367,239.20898,0.086418,0.03085,0.034399
651.359707,195.613307,324.427487,0.170195,0.028769,0.040263
678.755466,441.965065,431.686316,0.515445,0.230291,0.185505
600.933288,261.385826,260.511417,0.167091,0.055526,0.050353
536.780465,239.021077,244.04977,0.102216,0.04325,0.03943
661.164294,286.506959,255.710206,0.270876,0.074992,0.050721
687.545568,361.14152,314.79301,0.456331,0.14592,0.07531
566.985879,183.276857,209.666995,0.099896,0.023726,0.023341
673.482543,268.206144,272.9811,0.318998,0.082626,0.049617
656.584133,520.72091,476.186515,0.583345,0.360626,0.258155
679.325482,366.16979,322.626239,0.391988,0.134717,0.083771
